epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.46806,1.6177,3.81475,1.77887,0.00296,1,0.01439,0.00637,2.0028,3.81909,2.04194,4e-05,4e-05,4e-05
2,7.53224,1.65574,3.58324,1.87845,0.00296,1,0.01779,0.00867,1.91484,3.85174,2.06675,9.87625e-05,9.87625e-05,9.87625e-05
3,8.91399,1.7235,3.3607,1.88908,0.00296,1,0.11922,0.05384,1.74578,3.74986,1.87967,0.00015604,0.00015604,0.00015604
4,10.1118,1.53931,3.11237,1.59538,0.00296,1,0.1447,0.06363,1.92717,3.65797,1.98114,0.000211833,0.000211833,0.000211833
5,11.5742,1.25488,2.9801,1.54561,0.00259,0.875,0.31226,0.10801,1.91509,4.05637,2.11757,0.00026614,0.00026614,0.00026614
6,13.4574,1.31952,2.63116,1.50236,0.00296,1,0.33235,0.11509,1.88624,4.03796,2.22265,0.000318963,0.000318963,0.000318963
7,15.1851,1.3365,2.87799,1.57846,0.00259,0.875,0.45735,0.15449,1.94469,3.85602,2.28932,0.0003703,0.0003703,0.0003703
8,16.3456,1.23792,2.56518,1.35126,0.00296,1,0.45918,0.14897,1.99618,3.70608,2.27566,0.000420152,0.000420152,0.000420152
9,17.4252,1.31616,2.56703,1.49665,0.00296,1,0.44419,0.13961,1.7559,3.58976,2.03771,0.00046852,0.00046852,0.00046852
10,18.5015,1.28527,2.15647,1.34405,0.00296,1,0.37179,0.1304,1.8765,3.89256,2.30734,0.000515403,0.000515403,0.000515403
11,19.7307,1.3017,2.08158,1.3068,0.56389,0.125,0.21451,0.11635,2.14817,3.90874,2.43463,0.0005608,0.0005608,0.0005608
12,20.9314,1.22026,1.95518,1.35151,0.5332,0.125,0.24313,0.11637,2.09892,3.6628,2.24716,0.000604713,0.000604713,0.000604713
13,22.1162,1.14721,1.80142,1.32993,0.73382,0.125,0.2623,0.1372,1.95734,3.5728,2.14974,0.00064714,0.00064714,0.00064714
14,23.2172,1.24832,1.8998,1.40707,0.87381,0.125,0.28163,0.14444,2.06744,3.7127,2.32987,0.000688083,0.000688083,0.000688083
15,24.8945,1.17725,1.90383,1.35145,0.55931,0.125,0.23519,0.09333,2.50429,4.04621,2.82568,0.00072754,0.00072754,0.00072754
16,26.614,1.49874,2.13094,1.56723,0.8922,0.125,0.18606,0.09264,2.67357,4.19581,3.05074,0.000765512,0.000765512,0.000765512
17,28.5734,1.23067,1.8498,1.35978,0.88735,0.125,0.19186,0.127,2.48984,4.06739,2.81394,0.000802,0.000802,0.000802
18,29.7317,1.17087,1.8226,1.34668,0.39543,0.125,0.22146,0.10954,2.41904,4.19891,2.84447,0.000837003,0.000837003,0.000837003
19,30.9213,1.40527,1.76518,1.40812,0.26753,0.125,0.18806,0.04472,2.74522,4.63472,3.18559,0.00087052,0.00087052,0.00087052
20,32.1037,1.32183,1.83297,1.34865,0.00296,1,0.0504,0.00946,2.96808,5.09477,3.62362,0.000902552,0.000902552,0.000902552
21,33.2916,1.46411,1.91812,1.50905,0.00454,0.875,0.04739,0.01695,2.49457,4.47499,3.09883,0.0009331,0.0009331,0.0009331
22,34.4611,1.40149,1.9779,1.40761,0.00185,0.625,0.01001,0.00465,2.69825,5.08365,3.6491,0.000962162,0.000962162,0.000962162
23,35.4787,1.34707,1.93264,1.38863,0.00185,0.625,0.01715,0.00606,2.56154,5.02128,3.89463,0.00098974,0.00098974,0.00098974
24,36.678,1.30493,2.021,1.36652,0.00148,0.5,0.01436,0.00631,2.556,4.7862,3.53265,0.00101583,0.00101583,0.00101583
25,37.7561,1.31958,1.86639,1.34121,0.00259,0.875,0.03414,0.01195,2.30496,4.4697,2.70981,0.00104044,0.00104044,0.00104044
26,38.9592,1.22557,1.88144,1.37438,0.12984,0.24295,0.12018,0.03657,2.61541,4.03054,3.04907,0.00106356,0.00106356,0.00106356
27,40.7913,1.28395,1.77583,1.30772,0.66044,0.24533,0.18018,0.06179,2.50991,4.38747,2.91218,0.0010852,0.0010852,0.0010852
28,42.728,1.35002,1.9443,1.53609,1,0.23889,0.35609,0.179,2.30554,4.00266,2.89934,0.00110535,0.00110535,0.00110535
29,44.013,1.53814,2.02063,1.54059,1,0.23889,0.35609,0.179,2.30554,4.00266,2.89934,0.00112402,0.00112402,0.00112402
30,45.1577,1.19855,1.61093,1.3615,0.69988,0.58719,0.53438,0.15715,2.03987,4.67591,2.54045,0.0011412,0.0011412,0.0011412
31,46.237,1.22585,1.71706,1.35266,0.29506,0.36705,0.15397,0.08216,2.61343,4.44036,2.9997,0.0011569,0.0011569,0.0011569
32,47.417,1.10521,1.45275,1.27338,0.22288,0.25,0.12662,0.05221,2.41596,4.51835,3.27892,0.00117111,0.00117111,0.00117111
33,48.6161,1.27602,1.62278,1.3326,0.22288,0.25,0.12662,0.05221,2.41596,4.51835,3.27892,0.00118384,0.00118384,0.00118384
34,49.7487,1.2027,1.61616,1.32284,0.27349,0.375,0.289,0.12812,2.46956,4.47704,2.7888,0.00118325,0.00118325,0.00118325
35,51.2124,1.278,1.79187,1.44591,0.84518,0.125,0.12937,0.07676,2.86588,6.8524,2.69959,0.0011585,0.0011585,0.0011585
36,52.2792,1.19509,1.65274,1.4757,0.85739,0.125,0.12516,0.06258,3.8783,9.0479,3.49875,0.00113375,0.00113375,0.00113375
