epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.372,1.62194,4.21842,2.16884,0.00296,1,0.00733,0.00338,1.99497,4.75297,2.59863,4e-05,4e-05,4e-05
2,15.107,1.7387,4.10183,2.19806,0.00296,1,0.0091,0.00317,1.98009,4.70157,2.58318,9.87625e-05,9.87625e-05,9.87625e-05
3,18.125,1.64655,3.39689,1.98983,0.3631,0.375,0.25172,0.13433,1.83875,6.32837,2.43818,0.00015604,0.00015604,0.00015604
4,21.8316,1.81488,2.19735,1.94188,0.20749,0.25,0.11851,0.01694,2.94323,8.04875,3.27319,0.000211833,0.000211833,0.000211833
5,25.3852,1.75887,2.27466,1.83482,0.00111,0.375,0.00166,0.00061,3.58794,4.81544,4.28788,0.00026614,0.00026614,0.00026614
6,29.5406,2.01652,2.33171,2.02254,0.15201,0.25,0.09421,0.01672,3.2908,4.52432,4.52274,0.000318963,0.000318963,0.000318963
7,32.9211,1.88603,2.2401,1.88451,0.5,0.125,0.08342,0.03866,3.20712,25.4866,5.26595,0.0003703,0.0003703,0.0003703
8,36.2847,1.90137,2.54279,1.92598,0.06437,0.125,0.03462,0.00617,2.98177,12.8993,5.34345,0.000420152,0.000420152,0.000420152
9,39.9119,1.94905,2.54919,1.95,0.10385,0.25,0.05067,0.01018,3.07278,7.2502,6.12289,0.00046852,0.00046852,0.00046852
10,44.0963,1.98057,2.69898,2.00511,0.16921,0.25,0.12034,0.0157,3.50741,12.9168,9.99479,0.000515403,0.000515403,0.000515403
11,47.6191,1.93241,2.72489,1.9068,0.05524,0.375,0.03066,0.0079,3.16522,25.6041,12.7749,0.0005608,0.0005608,0.0005608
12,50.9848,1.72253,2.25711,1.9345,0.04348,0.125,0.01107,0.00657,3.43715,59.2609,8.30457,0.000604713,0.000604713,0.000604713
13,55.0884,1.55884,1.85823,1.70277,0.05882,0.125,0.00797,0.00812,4.17452,387.159,11.3536,0.00064714,0.00064714,0.00064714
14,58.6878,1.96342,2.36379,1.98219,0.00714,0.375,0.0057,0.00244,3.09498,650.237,9.85124,0.000688083,0.000688083,0.000688083
15,62.1589,1.71432,1.96766,1.73965,0.00354,0.625,0.00473,0.00099,3.6005,inf,77.1765,0.00072754,0.00072754,0.00072754
16,65.6035,1.7289,2.12508,1.76608,0.00786,1,0.01082,0.00319,2.84913,inf,52.3601,0.000765512,0.000765512,0.000765512
17,69.8028,2.09301,2.58526,2.14998,0.00364,0.75,0.02549,0.03167,nan,nan,nan,0.000802,0.000802,0.000802
18,73.259,1.80012,2.08976,1.87957,0,0,0,0,2.85039,inf,117.811,0.000837003,0.000837003,0.000837003
19,76.7887,2.01587,2.40263,1.9911,0.00238,0.625,0.00287,0.00135,3.38295,inf,277.579,0.00087052,0.00087052,0.00087052
20,80.5589,2.08215,2.40645,2.10171,0.00347,0.75,0.00636,0.00268,3.07641,inf,108.11,0.000902552,0.000902552,0.000902552
21,84.6726,2.06344,2.40001,2.11439,0.00119,0.375,0.00139,0.00046,3.47,inf,303.626,0.0009331,0.0009331,0.0009331
22,88.2697,2.29991,2.43875,2.22981,0,0,0,0,3.61315,inf,534.291,0.000962162,0.000962162,0.000962162
23,91.7492,1.92232,2.12818,1.89896,0,0,0,0,3.52087,inf,247.559,0.00098974,0.00098974,0.00098974
24,95.7163,1.93319,2.09355,1.83706,0,0,0,0,3.59852,inf,146.821,0.00101583,0.00101583,0.00101583
25,99.3203,1.98476,1.98372,1.82485,0,0,0,0,3.15882,inf,63.2606,0.00104044,0.00104044,0.00104044
26,102.751,2.04944,2.20668,2.03922,0.00266,0.625,0.00558,0.00139,nan,nan,nan,0.00106356,0.00106356,0.00106356
27,106.338,2.10361,2.12425,1.95634,0.00184,0.375,0.00112,0.00035,nan,nan,nan,0.0010852,0.0010852,0.0010852
28,110.425,1.8002,2.00488,1.90377,0.00195,0.125,0.00131,0.00013,nan,nan,nan,0.00110535,0.00110535,0.00110535
29,113.765,2.22318,2.17845,2.10846,0.00195,0.125,0.00131,0.00013,nan,nan,nan,0.00112402,0.00112402,0.00112402
30,117.267,2.20041,2.11343,2.26941,0.00495,0.25,0.00395,0.00227,nan,nan,nan,0.0011412,0.0011412,0.0011412
31,120.87,1.97543,1.81094,1.88753,0,0,0,0,nan,nan,nan,0.0011569,0.0011569,0.0011569
32,125.132,1.91021,1.72167,1.8236,0.00138,0.25,0.00102,0.00032,nan,nan,nan,0.00117111,0.00117111,0.00117111
33,128.555,1.91225,1.82472,1.84696,0.00138,0.25,0.00102,0.00032,nan,nan,nan,0.00118384,0.00118384,0.00118384
34,131.947,2.10386,2.03113,2.00096,0.00339,0.125,0.00465,0.00386,nan,nan,nan,0.00118325,0.00118325,0.00118325
35,135.76,2.08628,1.91741,2.016,0,0,0,0,nan,nan,nan,0.0011585,0.0011585,0.0011585
